Continent,Country,Capital,Cost of Living Index,Rent Index,Groceries Index,Local Purchasing Power Index,Restaurant Price Index,"Meal, Inexpensive Restaurant (USD)","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal) (USD),"Domestic Beer (0.5 liter draught, in restaurants) (USD)","Imported Beer (0.33 liter bottle, in restaurants) (USD)","Cappuccino (regular, in restaurants) (USD)","Coke/Pepsi (0.33 liter bottle, in restaurants) (USD)","Water (0.33 liter bottle, in restaurants) (USD)","Milk (regular), (1 liter) (USD)",Loaf of Fresh White Bread (500g) (USD),"Rice (white), (1kg) (USD)",Eggs (regular) (12) (USD),Local Cheese (1kg) (USD),Chicken Fillets (1kg) (USD),Beef Round (1kg) (or Equivalent Back Leg Red Meat) (USD),Apples (1kg) (USD),Banana (1kg) (USD),Oranges (1kg) (USD),Tomato (1kg) (USD),Potato (1kg) (USD),Onion (1kg) (USD),Lettuce (1 head) (USD),"Water (1.5 liter bottle, at the market) (USD)","Bottle of Wine (Mid-Range, at the market) (USD)","Domestic Beer (0.5 liter bottle, at the market) (USD)","Imported Beer (0.33 liter bottle, at the market) (USD)",Cigarettes 20 Pack (Marlboro) (USD),One-way Ticket (Local Transport) (USD),Monthly Pass (Regular Price) (USD),Taxi Start (Normal Tariff) (USD),Taxi 1km (Normal Tariff) (USD),Taxi 1hour Waiting (Normal Tariff) (USD),Gasoline (1 liter) (USD),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car) (USD),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car) (USD),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment (USD)",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans) (USD),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) (USD)","Fitness Club, Monthly Fee for 1 Adult (USD)",Tennis Court Rent (1 Hour on Weekend) (USD),"Cinema, International Release, 1 Seat (USD)","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child (USD)","International Primary School, Yearly for 1 Child (USD)",1 Pair of Jeans (Levis 501 Or Similar) (USD),"1 Summer Dress in a Chain Store (Zara, H&M, …) (USD)",1 Pair of Nike Running Shoes (Mid-Range) (USD),1 Pair of Men Leather Business Shoes (USD),Apartment (1 bedroom) in City Centre (USD),Avg rent(1 bedroom),Apartment (1 bedroom) Outside of Centre (USD),Avg rent(3 Bedroom),Apartment (3 bedrooms) in City Centre (USD),Apartment (3 bedrooms) Outside of Centre (USD),Avg Price per SQ/Mtr,Price per Square Meter to Buy Apartment in City Centre (USD),Price per Square Meter to Buy Apartment Outside of Centre (USD),Average Monthly Net Salary (After Tax) (USD),"	Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",Data quality
Asia,India,New Delhi,24.43,5.3,26.43,49.72,49.72,4.9,22.04,4.28,1.84,3.67,1.78,0.48,0.19,0.73,0.51,0.88,1.01,4.32,3.79,5.57,1.8,0.75,1.01,0.6,0.36,0.41,0.7,0.36,9.79,1.53,2.51,4.28,0.49,11.63,0.61,0.22,1.22,1.25,12242.64,22972.31,57.37,0.01,7.96,21.07,8.47,4.9,73.76,1985.7,32.05,33.34,49.35,36.26,223.87,178.625,133.38,460.99,596.16,325.82,1844.18,2619.46,1068.9,586.35,7.96,1
Asia,Indonesia,Jakarta,35.85,9.82,38.29,21.07,21.07,2.54,22.25,3.5,2.02,3.18,2.19,0.59,0.27,1.28,1.21,0.83,1.7,6.66,3.46,8.32,2.8,1.52,2.08,1.24,1.35,2.1,1.13,0.42,20.66,2.06,3.18,2.22,0.22,9.53,0.41,0.29,2.86,0.79,25489.74,27978.73,80.12,0.11,30.45,30.86,11.71,3.18,132.74,9934.37,38.87,25.95,72.89,80.32,482.85,376.5,270.15,851.03,1117.69,584.37,1981.745,2694.05,1269.44,483.19,9.15,1
Asia,Philippines,Manila,37.06,9.59,37.84,21.47,21.47,3.54,27.4,3.54,1.24,1.9,2.91,0.93,0.51,1.63,1.19,0.89,1.73,5.06,4.19,6.64,2.66,1.42,2.95,1.42,1.76,1.75,1.36,0.65,8.84,1.15,1.55,2.65,0.53,11.86,0.71,0.24,2.12,1.38,22984.03,18200.6,97.45,0.15,38.02,48.09,5.85,5.48,254.89,10860.59,38.45,26.96,69.47,61.82,559.52,420.65,281.78,1219.605,1754.4,684.81,3066.24,3536.04,2596.44,419.02,7.8,1
Asia,South Korea,Seoul,73.22,20.02,91.95,76.85,76.85,7.16,52.77,6.03,3.02,4.52,3.86,1.46,0.78,2.13,2.78,3.66,4.02,11.13,10.62,40.41,6.79,3.7,6.4,6.36,3.86,2.81,2.4,1.06,15.08,2.1,2.49,3.39,0.98,41.47,2.86,0.9,9.05,1.41,28648.67,26851.06,176.24,0.16,22.06,54.84,17.99,9.42,384.01,18283.99,56.99,45.49,70.21,108.3,809.83,696.715,583.6,2152.395,2621.05,1683.74,16340.42,21847.94,10832.9,2672.23,3.47,1
Asia,Thailand,Bangkok,43.21,14.69,45.15,31.56,31.56,2.6,28.09,5.62,2.25,4.21,2.06,0.5,0.26,1.61,1.86,1.44,1.96,15.94,3,11.51,2.83,1.43,1.83,1.42,1.4,1.2,1.16,0.46,19.66,1.61,2.83,4.21,1.24,36.52,0.98,1.21,5.2,1.18,56184.95,25441.43,77.59,0.04,15.08,54.94,9.78,7.44,499.64,14138.64,55.5,36.41,82.87,93.22,584.77,432.845,280.92,1455.225,1994.97,915.48,3867.045,5229.36,2504.73,615.33,5.64,1
Asia,China,Beijing,41.77,16.53,46.01,59.99,59.99,4.19,30.73,5.59,1.4,4.05,4.55,0.51,0.43,1.97,2.07,1.2,1.85,12.66,3.94,12.56,1.95,1.84,1.91,1.45,0.88,0.97,0.85,0.63,11.87,1.01,2.4,4.19,0.7,41.9,1.96,0.42,11.17,1.18,23745.34,22024.35,53.68,0.04,20.28,55.84,29.8,8.38,941.31,26804.96,65.28,42.74,84.19,117.38,1176.59,918.595,660.6,2079.435,2732.46,1426.41,13457.035,17450.87,9463.2,1514.55,5,1
Asia,Bangladesh,Dhaka,33.13,4.42,30.41,25.3,25.3,1.87,11.24,4.68,5.62,4.92,1.89,0.27,0.15,0.79,0.64,0.67,1.25,6.92,2.99,6.9,2.28,1,2.09,0.92,0.27,0.47,0.38,0.26,5.15,2.22,5.88,3,0.44,17.79,0.94,0.37,2.81,1.05,37453.64,27843.83,35.87,0.01,22.17,16.55,13.6,4.68,62.42,1463.93,20.65,23.91,48.74,39.86,136.4,110.335,84.27,266.885,333.63,200.14,821.735,1094.67,548.8,269.47,9.2,1
Asia,Japan,Tokyo,77.03,25.86,81.31,87.11,87.11,7.22,43.31,5.05,4.3,5.05,3.42,1.21,0.82,1.37,1.6,3.33,1.88,14.75,8.05,22.71,7.02,3,5.77,5.13,4.4,3.99,1.45,0.96,8.66,2.08,2.73,4.33,1.44,72.19,3.39,3,24.46,1.2,19491.54,16910.26,166.02,0.36,31.85,71.61,25.78,12.99,536.92,15370.09,44.86,36.49,62.62,102.68,1105.83,872.12,638.41,1869.155,2424.17,1314.14,7138.895,9062.18,5215.61,2776.24,1.13,1
Europe,Russia,Moscow,35.26,13.09,29.86,37.41,37.41,13.1,65.5,6.55,4.09,4.09,3.42,1.3,0.74,1.43,0.86,1.94,1.87,13.1,5.85,11.54,1.77,1.31,1.85,2.74,0.8,0.75,1.51,0.84,11.46,1.18,2.51,3.28,0.84,39.3,2.69,0.25,8.73,0.87,35208.38,39129.73,150.58,0.04,8.37,53.49,34.01,8.19,642.86,11901.56,107.25,64.25,139.32,152.61,1167.72,920.885,674.05,1717.89,2240.93,1194.85,6105,7920.06,4289.94,1480.16,10.27,1
North America,Mexico,Mexico City,35.35,12.55,34.82,38.62,38.62,7.78,39.95,6.75,2.59,4.1,2.75,1.03,0.75,1.33,2,1.47,1.98,7.8,6.27,9.49,2.51,1.32,1.46,1.5,1.58,1.47,0.99,0.83,11.42,1.39,2.57,3.63,0.31,15.79,1.04,0.49,7,1.21,19977.17,20108.93,49.15,0.1,27.5,46.8,21.14,4.67,347.96,7398.73,51.81,36.22,84.19,85.69,789.83,636.94,484.05,1196.495,1498.8,894.19,2246.32,2786.32,1706.32,734.39,10.57,1
